Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Read Count,Owned Copies,Condition,Condition Description
13278990,The Housing Monster,NaN,NaN,,160486530X,9780000000000.0,0,3.77,PM Press,Paperback,160.0,2011.0,2011.0,,7/12/2017,currently-reading,3,currently-reading,1,0,,
7805,Pale Fire,V.Nabokov,V.Nabokov,,141185260,9780000000000.0,0,4.19,Penguin Books Ltd,Paperback,246.0,1962.0,1962.0,,9/10/2013,to-read,26,to-read,0,0,,
34220725,Never Use Futura,"D.Thomas, E.Lupton",D.Thomas,E.Lupton,1616895721,9780000000000.0,4,4.29,Princeton Architectural Press,Paperback,208.0,2017.0,,,12/11/2017,to-read,,read,1,0,,
34913288,"The Three Pillar Model for Business Decisions: Strategy, Law and Ethics",G.Siedel,G.Siedel,,0,0.0,4,3.0,"Van Rye Publishing, LLC",Kindle Edition,253.0,2017.0,,12/11/2017,9/7/2017,,,read,1,0,,
11275062,Nixonland: The Rise of a President and the Fracturing of America,R.Perlstein,R.Perlstein,,1451606265,9780000000000.0,5,4.12,Scribner,ebook,896.0,2008.0,2008.0,11/11/2017,1/10/2017,,,read,1,0,,
27162486,The Banjo: America's African Instrument,L.Dubois,L.Dubois,,674047842,9780000000000.0,5,4.39,Belknap Press: An Imprint of Harvard University Press,Hardcover,384.0,2016.0,2016.0,,7/11/2017,to-read,,read,1,0,,
8219235,Grounding for the Metaphysics of Morals/On a Supposed Right to Lie Because of Philanthropic Concerns,I.Kant,I.Kant,,1452841098,9780000000000.0,5,3.8,Createspace,Paperback,94.0,1785.0,1785.0,,23/05/2010,currently-reading,,read,1,0,,
1407132,Hinduism,L.Renou,L.Renou,,671478710,9780000000000.0,2,3.09,Pocket Books,Mass Market Paperback,0.0,1951.0,1951.0,,3/7/2007,to-read,,read,1,0,,
29548767,Time Travel: A History,J.Gleick,J.Gleick,,0,0.0,2,3.58,Pantheon,Kindle Edition,352.0,2016.0,2016.0,23/06/2017,31/05/2017,,,read,1,0,,
31416132,The Complacent Class: The Self-Defeating Quest for the American Dream,T.Cowen,T.Cowen,,0,0.0,5,3.64,St. Martin's Press,Kindle Edition,256.0,2017.0,,,11/5/2017,currently-reading,,read,1,0,,
18505802,"Console Wars: Sega, Nintendo, and the Battle that Defined a Generation",B.J.Harris,B.J.Harris,,62276697,9780000000000.0,2,3.91,It Books,Hardcover,576.0,2014.0,2014.0,11/5/2017,11/5/2017,,,read,1,0,,
8913542,23 Things They Don't Tell You About Capitalism,H.Chang,H.Chang,,1608191664,9780000000000.0,5,3.98,Bloomsbury Press,Hardcover,286.0,2010.0,2010.0,6/3/2017,7/3/2017,,,read,1,0,,
313223,Hitler's Olympics: The Story of the 1936 Nazi Games,A.Rippon,A.Rippon,,1844154440,9780000000000.0,2,3.43,Pen & Sword Books,Hardcover,228.0,2006.0,2006.0,26/01/2017,26/01/2017,,,read,1,0,,
29954161,The Gunning of America: Business and the Making of American Gun Culture,P.Haag,P.Haag,,0,0.0,5,3.33,Basic Books,Kindle Edition,530.0,2016.0,2016.0,21/01/2017,21/01/2017,take-these,,read,1,0,,
9602,Palm Sunday: An Autobiographical Collage,K.V.Jr.,K.V.Jr.,,385334265,9780000000000.0,5,3.77,Dial Press,Paperback,300.0,1981.0,1981.0,1/1/2017,1/1/2017,take-these,,read,1,0,,
6732019,Rework,"J.Fried, D.H.Hansson",J.Fried,D.H.Hansson,307463745,9780000000000.0,3,3.93,Crown Business,Hardcover,279.0,2010.0,2010.0,20/12/2016,21/12/2016,take-these,,read,1,0,,
6600498,Atomic Awakening: A New Look at the History and Future of Nuclear Power,J.Mahaffey,J.Mahaffey,,1605980404,9780000000000.0,4,4.24,Pegasus Books,Hardcover,352.0,2009.0,2009.0,20/12/2016,21/12/2016,,,read,1,0,,
25739712,Etiquette: A Guide to the Most Common Etiquette Rules and Social Situations where Etiquette Matters (The Modern Ladies & Gentleman Book 4),N.Schreiber,N.Schreiber,,0,0.0,2,3.38,Niel Schreiber,Kindle Edition,48.0,2015.0,2015.0,12/11/2016,12/11/2016,,,read,1,0,,
236144,"Math You Can't Use: Patents, Copyright, and Software",B.Klemens,B.Klemens,,815749422,9780000000000.0,5,3.97,Brookings Institution Press,Hardcover,150.0,2005.0,2005.0,4/11/2016,4/11/2016,,,read,1,0,,
4980,Breakfast of Champions,K.V.Jr.,K.V.Jr.,,385334206,9780000000000.0,3,4.08,Dell Publishing,Paperback,303.0,1973.0,1973.0,30/10/2016,17/07/2016,,,read,1,0,,
1448236,Parkinson's Law,C.N.Parkinson,C.N.Parkinson,,1568490151,9780000000000.0,4,4.04,Buccaneer Books,Hardcover,112.0,1957.0,1957.0,30/10/2016,30/10/2016,take-these,8,read,1,0,,
14315,"Mr. Wilson's Cabinet Of Wonder: Pronged Ants, Horned Humans, Mice on Toast, and Other Marvels of Jurassic Technology",L.Weschler,L.Weschler,,679764895,9780000000000.0,4,4.03,Vintage,Paperback,192.0,1995.0,1995.0,16/09/2016,3/10/2016,,,read,1,0,,
821355,The Pine Barrens,"J.Mcphee, J.Graves",J.Mcphee,J.Graves,374514429,9780000000000.0,5,4.15,"Farrar, Straus and Giroux",Paperback,176.0,1967.0,1967.0,9/9/2016,4/3/2014,take-these,7,read,1,0,,
21797589,CLOG: National Mall,K.May,K.May,,0,9780000000000.0,5,4.33,CLOG,Paperback,128.0,2012.0,2012.0,13/09/2016,15/09/2016,,,read,1,0,,
424,Slouching Towards Bethlehem,J.Didion,J.Didion,,374521727,9780000000000.0,5,4.23,Farrar Straus Giroux,Paperback,238.0,1968.0,1968.0,8/9/2016,10/9/2016,,,read,1,0,,
4865,How to Win Friends and Influence People,D.Carnegie,D.Carnegie,,0,9780000000000.0,2,4.14,Gallery Books,Paperback,288.0,1936.0,1936.0,26/12/2010,26/12/2010,,,read,1,0,,
10276354,"The Great Stagnation: How America Ate All The Low-Hanging Fruit of Modern History, Got Sick, and Will (Eventually) Feel Better",T.Cowen,T.Cowen,,1101502258,9780000000000.0,3,3.73,Dutton Books,ebook,64.0,2011.0,2011.0,12/8/2016,13/08/2016,,,read,1,0,,
411830,The Salamander Room,"A.Mazer, L.Fancher, S.Johnson",A.Mazer,"L.Fancher, S.Johnson",679861874,9780000000000.0,5,4.15,Dragonfly Books,Paperback,32.0,1991.0,1991.0,,27/07/2016,,,read,1,0,,
27831864,Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days,"J.Knapp, J.Zeratsky, B.Kowitz",J.Knapp,"J.Zeratsky, B.Kowitz",0,0.0,4,4.24,Simon & Schuster,Kindle Edition,289.0,2016.0,2016.0,23/07/2016,2/7/2016,,,read,1,0,,
703532,"Mindstorms: Children, Computers, And Powerful Ideas",S.Papert,S.Papert,,465046746,9780000000000.0,4,4.32,Basic Books,Paperback,252.0,1980.0,1980.0,17/07/2016,17/07/2016,take-these,6,read,1,0,,
12917338,"Homeland (Little Brother, #2)",C.Doctorow,C.Doctorow,,765333694,9780000000000.0,3,3.95,Tor Teen,Hardcover,396.0,2013.0,2013.0,16/07/2016,16/07/2016,,,read,1,0,,
18691224,The Most Important Thing,M.Pennington,M.Pennington,,145360152X,9780000000000.0,0,4.0,CreateSpace Independent Publishing Platform,Kindle Edition,258.0,2010.0,2010.0,,2/7/2016,to-read,,read,1,0,,
25112174,The Business of America is Lobbying: How Corporations Became Politicized and Politics Became More Corporate (Studies in Postwar American Political Development),L.Drutman,L.Drutman,,0,0.0,0,3.52,Oxford University Press,Kindle Edition,288.0,2015.0,2015.0,,2/7/2016,currently-reading,2,currently-reading,1,0,,
685483,The Elements of Typographic Style,R.Bringhurst,R.Bringhurst,,881791326,9780000000000.0,5,4.25,Hartley & Marks Publishers,Paperback,320.0,1992.0,1992.0,2/7/2016,4/11/2014,,,read,1,0,,
25189315,Smoke Gets in Your Eyes: And Other Lessons from the Crematory,C.Doughty,C.Doughty,,393351904,9780000000000.0,5,4.06,W. W. Norton  Company,Paperback,272.0,2014.0,2014.0,2/7/2016,3/1/2016,,,read,1,0,,
71730,Nonviolent Communication: A Language of Life,"M.B.Rosenberg, A.Gandhi",M.B.Rosenberg,A.Gandhi,1892005034,9780000000000.0,4,4.31,Puddledancer Press,Paperback,220.0,1999.0,1999.0,1/7/2016,2/7/2016,,,read,1,0,,
381355,The Bogleheads' Guide to Investing,"T.Larimore, M.LeBoeuf, M.Lindauer",T.Larimore,"M.LeBoeuf, M.Lindauer",471730335,9780000000000.0,4,4.23,John Wiley & Sons,Hardcover,307.0,2006.0,2006.0,1/7/2016,2/7/2016,,,read,1,0,,
603255,"Applied Cryptography: Protocols, Algorithms, and Source Code in C",B.Schneier,B.Schneier,,471117099,9780000000000.0,4,4.18,Wiley,Paperback,758.0,1993.0,1993.0,,30/04/2016,,,read,1,0,,
3067234,The Algorithm Design Manual,S.S.Skiena,S.S.Skiena,,1848000693,9780000000000.0,4,4.34,Springer,Hardcover,730.0,1997.0,1997.0,,30/04/2016,,,read,1,0,,
6590992,Cradle to Cradle: Remaking the Way We Make Things,W.Mcdonough,W.Mcdonough,,0,0.0,2,4.1,,Kindle Edition,0.0,2002.0,2002.0,,30/04/2016,,,read,1,0,,
23546276,Countdown to Zero Day: Stuxnet and the Launch of the World's First Digital Weapon,K.Zetter,K.Zetter,,0,0.0,5,4.11,Crown,Kindle Edition,448.0,2014.0,2014.0,,30/04/2016,,,read,1,0,,
23676935,Life in Prison: Eight Hours at a Time,R.Reilly,R.Reilly,,0,0.0,2,3.83,Tilbury House Publishers,Kindle Edition,293.0,2014.0,2014.0,,30/04/2016,,,read,1,0,,
19929257,Levels of the Game,J.Mcphee,J.Mcphee,,0,0.0,5,4.2,"Farrar, Straus and Giroux",Kindle Edition,162.0,1969.0,1969.0,,30/04/2016,,,read,1,0,,
19252926,NaS Lost: A Tribute to the Little Homey,"B.Crawford, T.Jones",B.Crawford,T.Jones,0,0.0,5,3.76,Byron Crawford,Kindle Edition,197.0,2013.0,2013.0,,30/04/2016,,,read,1,0,,
9024174,Playing to Win: Becoming the Champion,D.Sirlin,D.Sirlin,,0,0.0,4,3.83,,Kindle Edition,144.0,2005.0,2005.0,,30/04/2016,,,read,1,0,,
16149296,On Writing Well: The Classic Guide to Writing Nonfiction,W.Zinsser,W.Zinsser,,0,0.0,4,4.24,Harper Perennial,Kindle Edition,303.0,1976.0,1976.0,,30/04/2016,,,read,1,0,,
20242999,The Smart Growth Manual,"A.Duany, J.Speck, M.Lydon",A.Duany,"J.Speck, M.Lydon",0,0.0,3,3.94,McGraw-Hill Education,Kindle Edition,241.0,2004.0,2004.0,,30/04/2016,,,read,1,0,,
6705401,Free: The Future of a Radical Price,C.Anderson,C.Anderson,,0,0.0,1,3.83,Hyperion e-books,Kindle Edition,288.0,2009.0,2009.0,,30/04/2016,,,read,1,0,,
6621198,"Eats, Shoots  &  Leaves: The Zero Tolerance Approach to Punctuation",L.Truss,L.Truss,,0,0.0,3,3.86,Avery,Kindle Edition,240.0,2003.0,2003.0,,30/04/2016,,,read,1,0,,
18802222,Remote: Office Not Required,"J.Fried, D.H.Hansson",J.Fried,D.H.Hansson,0,0.0,3,3.8,Crown Business,Kindle Edition,256.0,2013.0,,,30/04/2016,,,read,1,0,,
27843051,The American President: From Teddy Roosevelt to Bill Clinton,W.E.Leuchtenburg,W.E.Leuchtenburg,,0,0.0,5,4.4,Oxford University Press,Kindle Edition,902.0,2015.0,2015.0,,30/04/2016,,,read,1,0,,
871706,Intensive Science & Virtual Philosophy,M.D.Landa,M.D.Landa,,826479324,9780000000000.0,0,4.06,Bloomsbury Academic,Paperback,240.0,2002.0,2002.0,,23/02/2016,to-read,25,to-read,0,0,,
158785,Journey to the West (4-Volume Boxed Set),"W.Cheng'en, W.Jenner",W.Cheng'en,W.Jenner,7119016636,9790000000000.0,0,4.25,Foreign Languages Press,Paperback,2346.0,1592.0,1592.0,,1/4/2010,to-read,4,to-read,0,0,,
96123,All the President's Men,"C.Bernstein, B.Woodward",C.Bernstein,B.Woodward,1416522913,9780000000000.0,4,4.17,Pocket Books,Paperback,480.0,1974.0,1974.0,2/1/2016,3/1/2016,take-these,5,read,1,0,,
18509663,Spam Nation: The Inside Story of Organized Cybercrime — from Global Epidemic to Your Front Door,B.Krebs,B.Krebs,,1402295618,9780000000000.0,4,3.71,Sourcebooks,Hardcover,256.0,2014.0,2014.0,13/12/2015,13/12/2015,take-these,4,read,1,0,,
16131189,Mo' Meta Blues: The World According to Questlove,"A.Q.Thompson, B.Greenman",A.Q.Thompson,B.Greenman,1455501352,9780000000000.0,4,4.08,Grand Central Publishing,Hardcover,288.0,2013.0,2013.0,18/09/2015,18/09/2015,,,read,1,0,,
44895,Confessions of an Advertising Man,"D.Ogilvy, A.Parker",D.Ogilvy,A.Parker,1904915019,9780000000000.0,4,4.06,Southbank Publishing,Paperback,208.0,1963.0,1963.0,30/08/2015,30/08/2015,,,read,1,0,,
29,The Mother Tongue: English and How It Got That Way,B.Bryson,B.Bryson,,380715430,9780000000000.0,4,3.95,William Morrow Paperbacks,Paperback,270.0,1990.0,1990.0,24/08/2015,24/08/2015,,,read,1,0,,
4852344,No Law: Intellectual Property in the Image of an Absolute First Amendment,"D.L.Lange, H.J.Powell",D.L.Lange,H.J.Powell,080474579X,9780000000000.0,0,4.0,Stanford Law Books,Paperback,456.0,2008.0,2008.0,,25/05/2015,,,read,1,0,,
338798,Ulysses,J.Joyce,J.Joyce,,679722769,9780000000000.0,0,3.74,Vintage,Paperback,810.0,1922.0,1922.0,,25/05/2015,take-these,24,to-read,0,0,,
208669,A Spinoza Reader: The Ethics and Other Works,"B.Spinoza, E.M.Curley",B.Spinoza,E.M.Curley,691000670,9780000000000.0,0,4.15,Princeton University Press,Paperback,320.0,1994.0,1994.0,,25/05/2015,take-these,2,read,1,0,,
194769,To Mock a Mockingbird and Other Logic Puzzles,R.M.Smullyan,R.M.Smullyan,,192801422,9780000000000.0,4,4.12,"Oxford University Press, USA",Paperback,256.0,1985.0,1985.0,,12/4/2010,currently-reading,1,currently-reading,1,0,,
9155566,The Master Switch: The Rise and Fall of Information Empires,T.Wu,T.Wu,,0,0.0,1,3.87,,Kindle Edition,385.0,2010.0,2010.0,,25/05/2015,,,read,1,0,,
8470384,Extra Lives: Why Video Games Matter,T.Bissell,T.Bissell,,0,0.0,4,3.55,,Kindle Edition,240.0,2010.0,2010.0,,25/05/2015,,,read,1,0,,
12385458,"Thinking, Fast and Slow",D.Kahneman,D.Kahneman,,0,0.0,3,4.09,"Farrar, Straus and Giroux",Kindle Edition,512.0,2011.0,2011.0,,25/05/2015,,,read,1,0,,
19271328,The End of Big: How the Internet Makes David the New Goliath,N.Mele,N.Mele,,0,0.0,2,3.71,St. Martin's Press,Kindle Edition,321.0,2013.0,2013.0,,25/05/2015,,,read,1,0,,
19252428,Infinite Crab Meats,"B.Crawford, T.Jones",B.Crawford,T.Jones,0,0.0,5,4.2,Byron Crawford,Kindle Edition,183.0,2013.0,2013.0,,25/05/2015,,,read,1,0,,
21412400,The First Bad Man,M.July,M.July,,1439172560,9780000000000.0,5,3.58,Scribner,Hardcover,288.0,2015.0,2015.0,,18/05/2015,,,read,1,0,,
22748352,Kanye West Superstar,B.Crawford,B.Crawford,,1500586188,9780000000000.0,4,3.9,CreateSpace Independent Publishing Platform,Paperback,172.0,2014.0,2014.0,,13/05/2015,,,read,1,0,,
171254,Giving an Account of Oneself,J.Butler,J.Butler,,823225046,9780000000000.0,0,4.14,Fordham University Press,Paperback,160.0,2003.0,2003.0,,3/5/2015,to-read,23,to-read,0,0,,
29393,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",M.Azerrad,M.Azerrad,,316787531,9780000000000.0,4,4.2,Back Bay Books,Paperback,522.0,2001.0,2001.0,1/5/2015,3/5/2015,,,read,1,0,,
37819,The God of Small Things,A.Roy,A.Roy,,60977493,9780000000000.0,5,3.92,HarperCollins,Paperback,321.0,1997.0,1997.0,,26/06/2007,,,read,1,0,,
17396720,Infinite Crab Meats,B.Crawford,B.Crawford,,1482516438,9780000000000.0,4,3.98,Byron Crawford,Paperback,182.0,2013.0,2013.0,15/02/2015,16/02/2015,,,read,1,0,,
991197,The Complete Persepolis,"M.Satrapi, M.Ripa, B.Ferris, A.Singh",M.Satrapi,"M.Ripa, B.Ferris, A.Singh",375714839,9780000000000.0,5,4.36,Pantheon Books,Paperback,341.0,2003.0,2003.0,,5/1/2015,,,read,1,0,,
11865558,Venture Deals,"B.Feld, J.Mendelson",B.Feld,J.Mendelson,470929820,9780000000000.0,4,4.08,John Wiley & Sons,Hardcover,219.0,2011.0,2011.0,1/1/2015,2/1/2015,,,read,1,0,,
12617,Manufacturing Consent: The Political Economy of the Mass Media,"N.Chomsky, E.S.Herman",N.Chomsky,E.S.Herman,375714499,9780000000000.0,0,4.22,Pantheon,Paperback,412.0,1988.0,1988.0,,4/11/2014,,,read,1,0,,
20657434,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,B.Horowitz,B.Horowitz,,0,0.0,0,4.21,HarperBusiness,Kindle Edition,308.0,2014.0,2014.0,,4/11/2014,,,read,1,0,,
16284965,24/7: Late Capitalism and the Ends of Sleep,J.Crary,J.Crary,,1781680930,9780000000000.0,2,3.73,Verso,Hardcover,144.0,2013.0,2013.0,22/10/2014,22/10/2014,,,read,1,0,,
77,The Control of Nature,J.Mcphee,J.Mcphee,,374522596,9780000000000.0,5,4.24,"Farrar, Straus and Giroux",Paperback,288.0,1989.0,1989.0,22/10/2014,22/10/2014,,,read,1,0,,
18077903,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration","E.Catmull, A.Wallace",E.Catmull,A.Wallace,812993012,9780000000000.0,0,4.23,Random House,Hardcover,340.0,2009.0,2009.0,,15/08/2014,to-read,22,to-read,0,0,,
11517403,The Great Big Beautiful Tomorrow,C.Doctorow,C.Doctorow,,1604864044,9780000000000.0,5,3.64,PM Press,Paperback,136.0,2011.0,2011.0,,10/8/2014,,,read,1,0,,
5544,"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",R.Feynman,R.Feynman,,393316041,9780000000000.0,4,4.29,W. W. Norton & Company,Paperback,391.0,1984.0,1984.0,16/07/2014,24/05/2012,,,read,1,0,,
33279,Clock of the Long Now: Time and Responsibility: The Ideas Behind the World's Slowest Computer,S.Brand,S.Brand,,465007805,9780000000000.0,3,4.12,Basic Books,Paperback,208.0,1999.0,1999.0,28/01/2014,6/1/2014,,,read,1,0,,
18279,Phenomenology of Perception,"M.Merleau-ponty, C.Smith",M.Merleau-ponty,C.Smith,415278414,9780000000000.0,0,4.14,Routledge,Paperback,544.0,1945.0,1945.0,,27/01/2014,to-read,21,to-read,0,0,,
1301,Moneyball: The Art of Winning an Unfair Game,M.Lewis,M.Lewis,,393324818,9780000000000.0,3,4.25,W. W. Norton  Company,Paperback,317.0,2003.0,2003.0,24/01/2014,24/01/2014,,,read,1,0,,
10868,Picasso at the Lapin Agile and Other Plays,S.Martin,S.Martin,,802135234,9780000000000.0,0,3.99,Grove Press,Paperback,150.0,1996.0,1996.0,,24/01/2014,to-read,20,to-read,0,0,,
773858,Born Standing Up: A Comic's Life,S.Martin,S.Martin,,1416553649,9780000000000.0,0,3.87,Scribner Book Company,Hardcover,207.0,2007.0,2007.0,,24/01/2014,to-read,19,to-read,0,0,,
830,Snow Crash,N.Stephenson,N.Stephenson,,553380958,9780000000000.0,0,4.03,Bantam Books,Paperback,438.0,1992.0,1992.0,,21/01/2014,to-read,18,to-read,0,0,,
11208846,The Greenhouse,"A.A.Ólafsdóttir, B.FitzGibbon",A.A.Ólafsdóttir,B.FitzGibbon,1611090792,9780000000000.0,0,3.72,AmazonCrossing,Paperback,260.0,2007.0,2007.0,,21/01/2014,to-read,17,to-read,0,0,,
327488,The Shock of the Old: Technology and Global History Since 1900,D.Edgerton,D.Edgerton,,195322835,9780000000000.0,0,3.52,"Oxford University Press, USA",Hardcover,288.0,2006.0,2006.0,,20/01/2014,to-read,16,to-read,0,0,,
5297,The Picture of Dorian Gray,"O.Wilde, J.Eugenides",O.Wilde,J.Eugenides,375751513,9780000000000.0,5,4.06,Random House: Modern Library,Paperback,254.0,1890.0,1890.0,4/1/2014,24/05/2012,,,read,1,0,,
168642,In Cold Blood,T.Capote,T.Capote,,679745580,9780000000000.0,5,4.05,Vintage,Paperback,343.0,1966.0,1966.0,3/12/2013,4/12/2013,,,read,1,0,,
16071764,"Lean In: Women, Work, and the Will to Lead","S.Sandberg, N.Scovell",S.Sandberg,N.Scovell,385349947,9780000000000.0,2,3.94,Knopf,Hardcover,217.0,2013.0,2013.0,4/11/2013,28/10/2013,,,read,1,0,,
33600,Shantaram,G.D.Roberts,G.D.Roberts,,192076920X,9780000000000.0,0,4.26,Scribe,Paperback,936.0,2003.0,2003.0,27/10/2013,4/3/2010,,,read,1,0,,
12046245,Liars and Outliers: Enabling the Trust that Society Needs to Thrive,B.Schneier,B.Schneier,,1118143302,9780000000000.0,3,3.76,Wiley,Hardcover,348.0,2012.0,2012.0,26/10/2013,3/2/2012,,,read,1,0,,
13503109,This Is How You Lose Her,J.Díaz,J.Díaz,,1594487367,9780000000000.0,4,3.75,Riverhead Books,Hardcover,217.0,2012.0,2012.0,26/10/2013,26/10/2013,,,read,1,0,,
2325390,"The Wasteland, Prufrock and Other Poems",T.S.Eliot,T.S.Eliot,,143410169X,9780000000000.0,5,4.2,Waking Lion Press,paper,81.0,1922.0,1922.0,5/10/2013,9/10/2013,,,read,1,0,,
76778,The Martian Chronicles,R.Bradbury,R.Bradbury,,553278223,9780000000000.0,3,4.12,Bantam/Spectra,Mass Market Paperback,182.0,1950.0,1950.0,2/6/2013,3/6/2013,,,read,1,0,,
486625,Close to the Machine: Technophilia and Its Discontents,E.Ullman,E.Ullman,,872863328,9780000000000.0,4,3.79,City Lights Publishers,Paperback,189.0,1997.0,1997.0,15/05/2013,12/2/2013,,,read,1,0,,
30593,Pnin,"V.Nabokov, D.Lodge",V.Nabokov,D.Lodge,1400041988,9780000000000.0,0,3.9,Everyman's Library,Hardcover,143.0,1953.0,1953.0,,11/5/2013,to-read,15,to-read,0,0,,
8701960,"The Information: A History, a Theory, a Flood",J.Gleick,J.Gleick,,375423729,9780000000000.0,4,3.98,Knopf Doubleday Publishing Group,Hardcover,527.0,2011.0,2011.0,12/11/2012,23/05/2012,,,read,1,0,,
6748,A Supposedly Fun Thing I'll Never Do Again:  Essays and Arguments,D.F.Wallace,D.F.Wallace,,316925284,9780000000000.0,5,4.27,Back Bay Books,Paperback,353.0,1996.0,1996.0,19/09/2012,20/09/2012,,,read,1,0,,
